input,optimizations,part,target_clock,estim_clock,lat_worst,lat_avg,lat_best,II,FF,LUT,BRAM,DSP
latnrm_32_64,chigh,xc7z020-clg484-1,10.00,12.958,7222,7222,7222,219,7601,5559,0,16
latnrm_32_64,cinter,xc7z020-clg484-1,10.00,12.958,7199,7199,7199,110,7146,5705,0,24
latnrm_32_64,original,xc7z020-clg484-1,10.00,7.256,46593,46593,46593,0,1437,2472,0,16
latnrm_32_64,lvl2,xc7z020-clg484-1,10.00,9.531,523,523,523,64,2790,5040,0,19
latnrm_32_64,lvl3,xc7z020-clg484-1,10.00,10.354,520,520,520,64,2661,5149,0,19
latnrm_32_64,lvl4,xc7z020-clg484-1,10.00,10.284,285,285,285,1,2327,4596,0,16
latnrm_32_64,lvl5,xc7z020-clg484-1,10.00,10.354,520,520,520,64,2661,5155,0,19
latnrm_32_64,lvl6,xc7z020-clg484-1,10.00,10.284,290,290,290,1,2332,4631,0,16
latnrm_32_64,lvl7,xc7z020-clg484-1,10.00,10.257,521,521,521,64,2231,4999,0,16
latnrm_32_64,lvl8,xc7z020-clg484-1,10.00,10.284,291,291,291,1,2109,4782,0,16
