input,optimizations,part,target_clock,estim_clock,lat_worst,lat_avg,lat_best,II,FF,LUT,BRAM,DSP
mmult,chigh,xc7z020-clg484-1,10.00,9.866,68,68,68,5,104705,103288,0,500
mmult,cinter,xc7z020-clg484-1,10.00,9.489,512,512,512,50,3147,2771,0,10
mmult,original,xc7z020-clg484-1,10.00,7.256,11221,11221,11221,0,532,936,0,5
mmult,lvl1,xc7z020-clg484-1,10.00,10.928,123,123,123,0,41844,83503,0,430
mmult,lvl2,xc7z020-clg484-1,10.00,8.345,547,547,547,25,4573,6497,0,10
mmult,lvl3,xc7z020-clg484-1,10.00,9.085,271,271,271,10,10540,10279,0,25
mmult,lvl4,xc7z020-clg484-1,10.00,9.085,269,269,269,10,9321,9618,0,25
mmult,lvl5,xc7z020-clg484-1,10.00,9.085,230,230,230,10,6578,7818,0,21
mmult,lvl6,xc7z020-clg484-1,10.00,9.085,239,239,239,10,5928,7349,0,21
mmult,lvl7,xc7z020-clg484-1,10.00,8.735,40,40,40,1,18743,41317,0,200
mmult,lvl8,xc7z020-clg484-1,10.00,8.735,41,41,41,1,18740,41323,0,200
