input,optimizations,part,target_clock,estim_clock,lat_worst,lat_avg,lat_best,II,FF,LUT,BRAM,DSP
smooth64,chigh,xc7z020-clg484-1,10.00,8.742,1923,1923,1923,0,4814,7640,0,216
smooth64,cinter,xc7z020-clg484-1,10.00,8.742,5958,5958,5958,96,4830,10687,0,90
smooth64,original,xc7z020-clg484-1,10.00,8.510,173105,173105,173105,0,240,412,0,3
smooth64,lvl2,xc7z020-clg484-1,10.00,8.742,6206,6206,6206,50,10461,13763,0,117
smooth64,lvl3,xc7z020-clg484-1,10.00,8.742,6206,6206,6206,50,10985,15180,0,57
smooth64,lvl4,xc7z020-clg484-1,10.00,8.742,1305,1305,1305,0,5855,9801,0,117
smooth64,lvl5,xc7z020-clg484-1,10.00,8.742,6205,6205,6205,50,9026,11331,0,57
smooth64,lvl6,xc7z020-clg484-1,10.00,8.742,1274,1274,1274,0,4584,6693,0,117
smooth64,lvl7,xc7z020-clg484-1,10.00,8.510,131,131,131,1,28403,89835,0,838
smooth64,lvl8,xc7z020-clg484-1,10.00,8.742,2141,2141,2141,0,18022,54635,0,837
